baseline_row	match_status	match_score	match_reasons	raw_candidate_count	raw_tie_count	selected_match_note	alternate_raw_candidates	partner_id	partner_isolate_id	partner_isolate_id_status	sh_id	qub_id	sequence_identifier	sequence_primer_from_identifier	sequence_bp	overview_row	overview_organism_type	overview_gtdb_assignment	overview_gtdb_taxon	overview_gtdb_pident	overview_closest_hungate_hit	overview_hungate_hit_pident	overview_jgi_sequenced	overview_mwl	overview_metadata	overview_notes	all16s_row	all16s_db_control_seq	all16s_project	all16s_responsible	all16s_status_info	all16s_bc_status	all16s_sh_id	all16s_project_isolate_id	all16s_short_sequence_code	all16s_original_fasta_id	all16s_order_date	all16s_order_id	all16s_type	all16s_plate_well_id	all16s_used_date	all16s_sequence_order_id	all16s_primer_direction	all16s_sequencing_primer	all16s_base_pairs	all16s_location_of_stock	all16s_method	all16s_isolation_time	all16s_isolation_medium	all16s_year	all16s_growth_medium	all16s_colony_size	all16s_colony_colour	all16s_colony_surface	all16s_maldi_tof	all16s_temperature	all16s_atmosphere	all16s_rf_project_reference	all16s_rf_collection_date	all16s_animal_species	all16s_animal_slaughter_id	all16s_animal_id	all16s_production_system_animal_diet	all16s_animal_week_of_age	ab1_expected_filename	ab1_expected_path	ab1_present	ab1_status	ab1_size_bytes	ab1_modified_time	ab1_directory_listing_status	ab1_directory_listing_error
2	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	3	1		row=67|db=DB_00126|short=ELX836|fasta=ELX836_30138361_30138361|primer=1387R|bp=1095|score=130|reasons=sh_id,base_pairs,used_bc; row=66|db=DB_00125|short=ELX835|fasta=ELX835_30138354_30138354|primer=63F|bp=157|score=105|reasons=sh_id,used_bc	QUB	RC_18	NON_SH_ID		QUB_0066	QUB_1387FC_0066	1387FC	1095	13	Bacteria	RS_GCF_000703005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio ruminis_A	99.7				MWL6			68	DB_00127	Rumen_Gateway	Postdoc_James	missing_maldi_missingScientificID	USED	RC_18	NR	>ELX836C	>ELX836C_30138361_30138361			Tube				F	1387FC	1095	NR	Dilution_to_extinction	NR	NR	2021	NR	NR	NR	NR				MASTER_1_FGS	NR	ovine	NR	NR	Control/silage/concentrate(50:50)	Samples from the slaughter	ELX836C_30138361_30138361.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/ELX836C_30138361_30138361.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
7	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	3	1		row=78|db=DB_00140|short=ELX848|fasta=ELX848_30138484_30138484|primer=1387R|bp=1112|score=130|reasons=sh_id,base_pairs,used_bc; row=77|db=DB_00139|short=ELX847|fasta=ELX847_30138477_30138477|primer=63F|bp=164|score=105|reasons=sh_id,used_bc	QUB	SH_0043	SH_ID	SH_0043	QUB_0072	QUB_1387FC_0072	1387FC	1112	32	Bacteria	RS_GCF_000703005.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio ruminis_A	99.1				MWL6			79	DB_00141	Rumen_Gateway	BSc_Jnana and Corey	Dead	USED	SH_0043	24	>ELX848C	>ELX848C_30138484_30138484			Tube				F	1387FC	1112	Dead	Dilution_to_extinction	2	PC+RF	2021	PC+RF	pinpoint	white	NR	Dead			MASTER_1_FGS	NR	ovine	NR	16184	Control/silage/concentrate(50:50)	Samples from the slaughter	ELX848C_30138484_30138484.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/ELX848C_30138484_30138484.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
8	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	11	1		row=81|db=DB_00135|short=ELX844|fasta=ELX844_30138446_30138446|primer=1387R|bp=1097|score=130|reasons=sh_id,base_pairs,used_bc; row=80|db=DB_00134|short=ELX843|fasta=ELX843_30138439_30138439|primer=63F|bp=162|score=105|reasons=sh_id,used_bc; row=83|db=DB_01162|short=IWS844|fasta=IWS844_59988442_59988442|primer=27F|bp=690|score=105|reasons=sh_id,used_bc; row=84|db=DB_01273|short=JDP762_H11|fasta=JDP762_61777621_H11|primer=27F|bp=668|score=105|reasons=sh_id,used_bc; row=85|db=DB_01392|short=JDP777|fasta=|primer=|bp=|score=105|reasons=sh_id,used_bc; row=86|db=DB_01480|short=JDP761_A3|fasta=|primer=27F|bp=|score=105|reasons=sh_id,used_bc; row=87|db=DB_01481|short=JDP761_A4|fasta=|primer=1492R|bp=|score=105|reasons=sh_id,used_bc; row=88|db=DB_01719|short=JTQ773|fasta=JTQ773_65947730_65947730|primer=27F|bp=227|score=105|reasons=sh_id,used_bc; row=89|db=DB_01720|short=JTQ774|fasta=JTQ774_65947747_65947747|primer=1492R|bp=990|score=105|reasons=sh_id,used_bc; row=90|db=DB_01734|short=KCX852|fasta=KCX852_68358526_68358526|primer=27F|bp=724|score=105|reasons=sh_id,used_bc	QUB	SH_0044	SH_ID	SH_0044	QUB_0070	QUB_1387FC_0070	1387FC	1097	33	Bacteria	RS_GCF_900002405.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces succiniciruminis	99.8				MWL6			82	DB_00136	Rumen_Gateway	BSc_Jnana and Corey	missing_maldi_missingScientificID	USED	SH_0044	22	>ELX844C	>ELX844C_30138446_30138446			Tube				F	1387FC	1097	A1.3 Box 3	Dilution_to_extinction	2	PC	2021	PC	NR	NR	NR	SH_44			MASTER_1_FGS	NR	ovine	NR	16951	Control/silage/concentrate(50:50)	Samples from the slaughter	ELX844C_30138446_30138446.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/ELX844C_30138446_30138446.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
18	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	4	1		row=108|db=DB_00577|short=HOB513|fasta=HOB513_50975137_50975137|primer=27F|bp=1149|score=130|reasons=sh_id,primer,used_bc; row=106|db=DB_00096|short=ELX807|fasta=ELX807_30138071_30138071|primer=63F|bp=1102|score=105|reasons=sh_id,used_bc; row=107|db=DB_00097|short=ELX808|fasta=ELX808_30138088_30138088|primer=1387R|bp=1143|score=105|reasons=sh_id,used_bc	QUB	SH_0050	SH_ID	SH_0050	QUB_0537	QUB_27F_0537	27F	1249	43	Bacteria	RS_GCF_001592005.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sonorensis	99.7				MWL6			109	DB_01101	Rumen_Gateway	BSc_Jnana and Corey	missing_maldi_missingScientificID	USED	SH_0050	4	>IWS783	>IWS783_59987834_59987834	19/04/2024	11108875297-1	Tube		16/08/2024	11109029894	F	27F	1249	A1.1 Box4	Dilution_to_extinction	2	BHI	2021	BHI	NR	NR	NR	SH_50			MASTER_1_FGS	NR	ovine	NR	16932	Control/silage/concentrate(50:50)	Samples from the slaughter	IWS783_59987834_59987834.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/IWS783_59987834_59987834.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
22	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	4	1		row=119|db=DB_00094|short=ELX806|fasta=ELX806_30138064_30138064|primer=1387R|bp=899|score=130|reasons=sh_id,base_pairs,used_bc; row=118|db=DB_00093|short=ELX805|fasta=ELX805_30138057_30138057|primer=63F|bp=769|score=105|reasons=sh_id,used_bc; row=121|db=DB_01171|short=IWS853|fasta=IWS853_59988534_59988534|primer=27F|bp=1175|score=105|reasons=sh_id,used_bc	QUB	SH_0054	SH_ID	SH_0054	QUB_0049	QUB_1387FC_0049	1387FC	899	47	Bacteria	RS_GCF_014490785.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia sp014490785	98							120	DB_00095	Rumen_Gateway	BSc_Jnana and Corey	missing_maldi_missingScientificID	USED	SH_0054	3	>ELX806C	>ELX806C_30138064_30138064			Tube				F	1387FC	899	A1.1 Box4	Dilution_to_extinction	2	NR	2021	BHI	NR	NR	NR	Bifidobacterium pseudolongum			MASTER_1_FGS	NR	ovine	NR	16184	Control/silage/concentrate(50:50)	Samples from the slaughter	ELX806C_30138064_30138064.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/ELX806C_30138064_30138064.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
44	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	3	1		row=171|db=DB_00640|short=IPO335|fasta=IPO335_58123356_58123356|primer=27F|bp=386|score=130|reasons=sh_id,primer,used_bc; row=172|db=DB_01075|short=IVZ014|fasta=IVZ014_59790144_59790144|primer=27F|bp=155|score=130|reasons=sh_id,primer,used_bc	QUB	SH_0071.2.2	SH_ID	SH_0071.2.2	QUB_0535	QUB_27F_0535	27F	1275	69	Bacteria	RS_GCF_012844235.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parafannyhessea;s__Parafannyhessea sp900538935	99.3				MWL4			173	DB_01099	Rumen_Gateway	BSc_Malorie	missing_maldi	USED	SH_0071.2.2	166	>IWS781	>IWS781_59987810_59987810	19/04/2024	11108875297-1	Tube		16/08/2024	11109029894	F	27F	1275	A1.2 Box1	Dilution_to_extinction	2	BHI+RF	2023	BHI+RF	NR	NR	NR	SH_71.2.2			HoloRuminant	NR	bovine	NR	37186	Intensive	12	IWS781_59987810_59987810.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/IWS781_59987810_59987810.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
87	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	2	1		row=293|db=DB_00062|short=DYG771|fasta=DYG771_26587715_26587715|primer=63F|bp=1172|score=105|reasons=sh_id,used_bc	QUB	SH_0103	SH_ID	SH_0103	QUB_0540	QUB_27F_0540	27F	1219	112	Bacteria	RS_GCF_011387195.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ruminicola	99.2							294	DB_01104	Rumen_Gateway	MSc_Ziming	Missing_from_report	USED	SH_0103	64	>IWS786	>IWS786_59987865_59987865	19/04/2024	11108875297-1	Tube		16/08/2024	11109029894	F	27F	1219	A1.2 Box3	Dilution_to_extinction	2	M2	2022	M2	NR	NR	NR	SH_164			MASTER_2_FGS	NR	ovine	NR	6973	TMR/High microalgae supplementation	Samples from the slaughter	IWS786_59987865_59987865.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/IWS786_59987865_59987865.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
138	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	2	1		row=632|db=DB_00077|short=DYG786|fasta=DYG786_26587869_26587869|primer=63F|bp=1136|score=105|reasons=sh_id,used_bc	QUB	SH_0142	SH_ID	SH_0142	QUB_0538	QUB_27F_0538	27F	1189	163	Bacteria	RS_GCF_000024945.1	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	99							633	DB_01102	Rumen_Gateway	MSc_Ziming	mismatching_info	USED	SH_0142	118	>IWS784	>IWS784_59987841_59987841	19/04/2024	11108875297-1	Tube		16/08/2024	11109029894	F	27F	1189	A1.3 Box2	Dilution_to_extinction	2	BHI	2022	BHI	NR	NR	NR	Bacillus sonorensis			Routine in vitro ruminal fluid	NR	bovine				Slaughter	IWS784_59987841_59987841.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/IWS784_59987841_59987841.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
155	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	1	1			QUB	SH_0161	SH_ID	SH_0161	QUB_0533	QUB_27F_0533	27F	1195	180	Bacteria	RS_GCF_022427145.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Fontibacillus;s__Fontibacillus timonensis	98.4							658	DB_01097	Rumen_Gateway	BSc_Malorie	missing_maldi	USED	SH_0161	171	>IWS779	>IWS779_59987797_59987797	19/04/2024	11108875297-1	Tube		16/08/2024	11109029894	F	27F	1195	A1.3 Box3	Dilution_to_extinction	2	BHI+RF	2023	BHI+RF	NR	NR	NR	SH_161			HoloRuminant	NR	bovine	NR	37186	Intensive	12	IWS779_59987797_59987797.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/IWS779_59987797_59987797.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
186	MATCHED_SH_PRIMER_BP	155	sh_id,primer,base_pairs,used_bc	3	1		row=727|db=DB_00107|short=ELX818|fasta=ELX818_30138187_30138187|primer=1387R|bp=1096|score=130|reasons=sh_id,base_pairs,used_bc; row=726|db=DB_00106|short=ELX817|fasta=ELX817_30138170_30138170|primer=63F|bp=165|score=105|reasons=sh_id,used_bc	QUB	SH_0253	SH_ID	SH_0253	QUB_0055	QUB_1387FC_0055	1387FC	1096	211	Bacteria	RS_GCF_040681735.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Actinoplanes;s__Actinoplanes sp040681735	99.6				MWL6			730	DB_00108	Rumen_Gateway	BSc_Jnana and Corey	missing_maldi	USED	SH_0253	9	>ELX818C	>ELX818C_30138187_30138187			Tube				F	1387FC	1096	B1.1 Box 1	Dilution_to_extinction	2	BHI+RF	2021	BHI+RF	small	white	NR	Unknown			MASTER_1_FGS	NR	ovine	NR	16184	Control/silage/concentrate(50:50)	Samples from the slaughter	ELX818C_30138187_30138187.ab1	/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files/ELX818C_30138187_30138187.ab1	FALSE	MISSING_EXPECTED_FILE			UNAVAILABLE	"PermissionError: [Errno 1] Operation not permitted: ""/Users/nicholas/Library/CloudStorage/OneDrive-SharedLibraries-Queen'sUniversityBelfast/RUMEN Gateway QUB-Scientific_Consortium - Documents/03_Partners_sequences/QUB/ab1_files"""
